template_id,template_title,file_ext,figure_family,source_file
1,生存曲线模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/1.生存曲线模板.pzf
10,热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/10.热图模板.pzf
100,WB多指标小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/100.WB多指标小提琴图模板.pzf
101,BCA蛋白定量柱状图,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/101.BCA蛋白定量柱状图.pzf
102,多指标多组箱线图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/102.多指标多组箱线图模板.pzf
103,分类柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/103.分类柱状图模板.pzf
104,多组IC50曲线模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/104.多组IC50曲线模板.pzf
105,ELISA小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/105.ELISA小提琴图模板.pzf
106,WB单指标柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/106.WB单指标柱状图模板.pzf
107,两组折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/107.两组折线图模板.pzf
108,单组ROC曲线模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/108.单组ROC曲线模板.pzf
109,双Y轴堆积柱状折线图,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/109.双Y轴堆积柱状折线图.pzf
11,哑铃图模版,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/11.哑铃图模版.pzf
110,WB多条带彩色气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/110.WB多条带彩色气泡图模板.pzf
111,CCK8柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/111.CCK8柱状图模板.pzf
12,带散点的多组柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/12.带散点的多组柱状图模板.pzf
13,多组带可信区间散点图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/13.多组带可信区间散点图模板.pzf
14,双向误差棒散点折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/14.双向误差棒散点折线图模板.pzf
15,彩色森林图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/15.彩色森林图模板.pzf
16,堆叠柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/16.堆叠柱状图模板.pzf
17,火山图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/17.火山图模板.pzf
18,混淆矩阵模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/18.混淆矩阵模板.pzf
19,富集分析棒棒糖图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/19.富集分析棒棒糖图模板.pzf
2,百分比堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/2.百分比堆积柱状图模板.pzf
20,剂量效应曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/20.剂量效应曲线图模板.pzf
21,三角形相关性热图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/21.三角形相关性热图模板.pzf
22,富集分析气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/22.富集分析气泡图模板.pzf
23,富集分析柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/23.富集分析柱状图模板.pzf
24,柱状哑铃图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/24.柱状哑铃图模板.pzf
25,横向百分比堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/25.横向百分比堆积柱状图模板.pzf
26,甜甜圈图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/26.甜甜圈图模板.pzf
27,彩色气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/27.彩色气泡图模板.pzf
28,多组ROC曲线模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/28.多组ROC曲线模板.pzf
29,多组干预柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/29.多组干预柱状图模板.pzf
3,散点箱线图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/3.散点箱线图模板.pzf
30,多指标分类散点图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/30.多指标分类散点图模板.pzf
31,分组棒棒图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/31.分组棒棒图模板.pzf
32,双误差棒图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/32.双误差棒图模板.pzf
33,双因子柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/33.双因子柱状图模板.pzf
34,散点小提琴图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/34.散点小提琴图模板.pzf
35,限制性立方样条(RCS)模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/35.限制性立方样条(RCS)模板.pzf
36,多组蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/36.多组蜂群图模板.pzf
37,多组散点小提琴图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/37.多组散点小提琴图模板.pzf
,38.UMAP聚类图模板.pzfx,pzfx,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/38.UMAP聚类图模板.pzfx
39,多因子散点箱线图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/39.多因子散点箱线图模板.pzf
4,散点折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/4.散点折线图模板.pzf
40,双Y轴时间序列曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/40.双Y轴时间序列曲线图模板.pzf
41,双拼热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/41.双拼热图模板.pzf
42,花花蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/42.花花蜂群图模板.pzf
43,IC50曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/43.IC50曲线图模板.pzf
44,多组折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/44.多组折线图模板.pzf
45,回归分析森林图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/45.回归分析森林图模板.pzf
46,双向条形图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/46.双向条形图模板.pzf
47,多因子柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/47.多因子柱状图模板.pzf
48,肿瘤生长曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/48.肿瘤生长曲线图模板.pzf
49,泡泡蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/49.泡泡蜂群图模板.pzf
5,分段折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/5.分段折线图模板.pzf
50,相关性散点图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/50.相关性散点图模板.pzf
51,云雨图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/51.云雨图模板.pzf
52,两组比较柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/52.两组比较柱状图模板.pzf
53,累积频率分布图模板,pzf,distribution,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/53.累积频率分布图模板.pzf
54,分面堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/54.分面堆积柱状图模板.pzf
55,富集气泡条目图模板,prism,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/55.富集气泡条目图模板.prism
55,富集气泡条目图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/55.富集气泡条目图模板.pzf
56,qPCR热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/56.qPCR热图模板.pzf
57,堆积蝴蝶图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/57.堆积蝴蝶图模板.pzf
58,WB蛋白定量气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/58.WB蛋白定量气泡图模板.pzf
59,富集棒棒糖条形图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/59.富集棒棒糖条形图模板.pzf
6,相关性热图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/6.相关性热图模板.pzf
60,多组区间折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/60.多组区间折线图模板.pzf
61,花花折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/61.花花折线图模板.pzf
62,WB蛋白定量热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/62.WB蛋白定量热图模板.pzf
63,彩色标签森林图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/63.彩色标签森林图模板.pzf
64,彩色卡片折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/64.彩色卡片折线图模板.pzf
65,多因子蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/65.多因子蜂群图模板.pzf
66,彩色气泡热图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/66.彩色气泡热图模板.pzf
67,qPCR分段柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/67.qPCR分段柱状图模板.pzf
68,蝴蝶棒棒糖图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/68.蝴蝶棒棒糖图模板.pzf
69,箱线小提琴图,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/69.箱线小提琴图.pzf
7,趋势折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/7.趋势折线图模板.pzf
70,多组花花蜂群图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/70.多组花花蜂群图模板.pzf
71,WB多指标热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/71.WB多指标热图模板.pzf
72,多因子误差棒图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/72.多因子误差棒图模板.pzf
73,双Y轴相关性散点图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/73.双Y轴相关性散点图模板.pzf
74,蛋白差异火山图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/74.蛋白差异火山图模板.pzf
75,多组平滑曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/75.多组平滑曲线图模板.pzf
76,PCR多基因表达热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/76.PCR多基因表达热图模板.pzf
77,CCK8细胞增殖图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/77.CCK8细胞增殖图模板.pzf
78,EC50曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/78.EC50曲线图模板.pzf
79,荧光染色小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/79.荧光染色小提琴图模板.pzf
8,带误差棒堆积柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/8.带误差棒堆积柱状图模板.pzf
80,基因排序图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/80.基因排序图模板.pzf
81,超多组散点柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/81.超多组散点柱状图模板.pzf
82,带区间KM生存曲线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/82.带区间KM生存曲线图模板.pzf
83,彩色百分比堆积柱状图,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/83.彩色百分比堆积柱状图.pzf
84,水彩散点箱线图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/84.水彩散点箱线图模板.pzf
85,双向棒棒糖图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/85.双向棒棒糖图模板.pzf
86,区间波形图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/86.区间波形图模板.pzf
87,qPCR基因表达气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/87.qPCR基因表达气泡图模板.pzf
88,WB多条带气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/88.WB多条带气泡图模板.pzf
89,多因子柱状哑铃图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/89.多因子柱状哑铃图模板.pzf
9,小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/9.小提琴图模板.pzf
90,多因子两组柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/90.多因子两组柱状图模板.pzf
91,临床特征热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/91.临床特征热图模板.pzf
92,WB条带折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/92.WB条带折线图模板.pzf
93,CCK8柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/93.CCK8柱状图模板.pzf
94,WB多指标柱状图,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/94.WB多指标柱状图.pzf
95,带误差棒云雨图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/95.带误差棒云雨图模板.pzf
96,多因子水彩箱线图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/96.多因子水彩箱线图模板.pzf
97,MTT细胞活性气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/97.MTT细胞活性气泡图模板.pzf
98,渐变火山图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/98.渐变火山图模板.pzf
99,GO分析富集气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/99.GO分析富集气泡图模板.pzf
